video_id,video_title,published_at,view_count,like_count,comment_count,duration_seconds
oHte3qFa-oY,"Learn AWS for Analytics in Under 2 Hours | S3, Athena, Glue, Glue DataBrew, Quicksight",2024-12-03T13:00:56Z,26317,737,40,6097.0
P7p2OZj9ewU,"Learn Azure for Analytics in Under 90 Minutes | Azure Synapse Analytics, SQL Databases, ADF + More",2024-11-26T13:00:27Z,17110,415,24,4637.0
I0vQ_VLZTWg,"Learn Power BI in Under 3 Hours | Formatting, Visualizations, Dashboards + Full Project",2024-11-19T13:00:31Z,401184,6622,210,7518.0
tnz72ywhCoo,Coding with R and AI Now on Analyst Builder!,2024-11-12T13:01:10Z,6189,185,16,501.0
j8FSP8XuFyk,"Learn Tableau in Under 2 hours | Dashboards, Relationships, Visualizations + Mini Project",2024-11-05T13:01:16Z,167581,2990,88,5410.0
zXnQNytHCPM,"Learn Excel in Under 3 Hours | Pivot Tables, Lookups, Data Cleaning",2024-10-29T12:01:19Z,82600,1988,80,9516.0
osA1QpBcxRs,Nobody cares... so just do it!,2024-10-24T12:17:57Z,21495,2008,61,36.0
Mdq1WWSdUtw,"Learn Pandas in Under 3 Hours | Filtering, Joins, Indexing, Data Cleaning, Visualizations",2024-10-22T12:00:28Z,84024,2012,56,9607.0
CZt2BUpgjgw,Free Data Analyst Bootcamp 2024,2024-10-17T11:52:50Z,15207,1146,41,31.0
t1fQBD4B7xk,"Learn Python in Under 3 Hours | Variables, For Loops, Web Scraping + Full Project",2024-10-15T12:01:10Z,52005,1384,49,9121.0
OT1RErkfLNQ,Learn SQL Beginner to Advanced in Under 4 Hours,2024-10-08T12:00:27Z,870321,18037,698,14698.0
rxyLC247h6E,AWS Quicksight | AWS Essentials,2024-10-01T12:00:58Z,25769,369,13,730.0
AycpRKyRagE,AWS Glue DataBrew and Glue | AWS Essentials,2024-09-24T12:00:16Z,10635,168,12,2732.0
K2GfrERtliU,Amazon Athena in AWS | AWS Fundamentals,2024-09-17T12:00:24Z,16609,291,11,1473.0
xmVyaT-RuVo,Alex Freberg and Ben Rogojan Livestream | Everything Data Analytics and Data Engineering,2024-09-11T03:20:13Z,6011,198,8,4516.0
amb9bciHGSI,Landing a Data Job Course on Analyst Builder,2024-09-03T12:00:05Z,24004,826,96,500.0
hgaVi4sOHkM,S3 Storage in AWS | AWS Essentials,2024-08-27T12:00:47Z,12274,222,13,878.0
YSjbGET6R1A,AWS Setup and UI Walkthough | AWS,2024-08-20T12:00:41Z,14221,311,14,441.0
vDVcXXfc9e8,Getting Started in Azure Synapse Analytics | Azure Fundamentals,2024-08-13T12:01:05Z,30886,428,15,1177.0
Vg6ys_JvXzg,August Q/A Livestream! Come Ask Me Anything!,2024-08-09T15:17:26Z,5339,223,18,5904.0
sge9qTf8GdY,Getting Started in Azure Data Factory | Azure Fundamentals,2024-08-06T12:00:57Z,40213,629,31,1471.0
9ur0OpMADuM,How to use Azure SQL Databases | Azure Fundamentals,2024-07-30T12:00:10Z,45332,784,30,826.0
UTMuL_86gSQ,Complete Data Analyst Roadmap on Analyst Builder | Become a Data Analyst Faster!,2024-07-25T12:00:34Z,58508,1647,164,367.0
sEImMaovc1Q,Blob Storage and Storage Accounts in Azure | Azure Fundamentals,2024-07-23T12:01:00Z,15491,288,11,941.0
ZYps6TmBkWk,Azure Account Setup + $200 Free Credits | Azure Fundamentals,2024-07-16T12:00:38Z,26423,535,32,397.0
zv1nfZTYpio,Building a Fully Interactive Web App using Shiny for Python,2024-07-09T12:01:07Z,15854,386,24,3592.0
rn0dSsYXhIE,Shiny for Python Components and Layouts | Customizing You Web App,2024-07-02T12:01:00Z,6239,174,13,1448.0
siHou7lObbo,Shiny for Python Setup and Install | Deploying First Shiny App,2024-06-25T12:00:53Z,14634,352,40,864.0
wJiJXD7MVoY,Is the Economy on the Brink of a Recession? | Let's Look at the Data!,2024-06-18T12:00:06Z,13783,812,134,1279.0
BzwAZ1k3WEY,Top 5 Most Common Excel Functions in Excel,2024-06-11T12:00:10Z,9288,386,9,1007.0
5q2u8__sVhs,5 Awesome Excel Functions You've Probably Never Heard Of,2024-06-04T12:00:09Z,6593,239,17,844.0
UJbNEH0_nGY,How to Create Custom Functions in Excel | Lambda Functions,2024-05-28T12:00:23Z,7847,241,11,994.0
oz2K4HUNMW4,Top 5 Most Popular Functions In Microsoft Excel,2024-05-21T12:00:53Z,16649,457,28,992.0
Y-4ri9QjsTI,Infrastructure of Analyst Builder | Entire Tech Stack | Part 3,2024-05-14T12:00:28Z,6008,92,10,2740.0
F5v2dRYU5IA,2 Hour Data Analyst Interview Masterclass | Interview Better Than The Competition,2024-05-07T15:16:53Z,114813,3565,86,7480.0
_R6K1aNtKpE,Challenges of Creating Analyst Builder | Challenges of a Startup | Part 2,2024-05-07T12:00:30Z,2564,65,11,2707.0
5tKmTdvEAVk,How We Started Analyst Builder | How We Created It | Part 1,2024-04-30T12:00:07Z,6809,215,35,1367.0
QYd-RtK58VQ,MySQL Exploratory Data Analysis | Full Project,2024-04-23T12:00:21Z,139003,3230,152,1964.0
c5ko0sedE7k,750k Subscriber Livestream! | Giveaways | Songs | Q/A,2024-04-18T18:35:41Z,5199,229,13,4996.0
4UltKCnnnTA,Data Cleaning in MySQL | Full Project,2024-04-16T12:00:05Z,337604,7199,1022,3071.0
BV5ckMNNvi4,How to get Promoted as a Data Analyst | Alex The Analyst Show Episode 26,2024-04-09T12:00:08Z,9112,287,86,3374.0
QMUZ5HfWMRc,Triggers and Events in MySQL | Advanced MySQL Series,2024-04-02T12:00:19Z,124780,3967,149,882.0
7b8ViCqD9JM,How to give up on the job search fast,2024-03-27T12:19:35Z,30286,2220,35,52.0
7vnxpcqmqNQ,Stored Procedures in MySQL | Advanced MySQL Series,2024-03-26T12:00:12Z,130874,2469,88,757.0
uEk07jXdKOo,Temp Tables in MySQL | Advanced MySQL Series,2024-03-19T12:00:56Z,87862,1822,71,466.0
UC7uvOqcUTs,CTEs in MySQL | Advanced MySQL Series,2024-03-12T12:00:23Z,150253,2442,79,631.0
1KEbiqRWOkA,7 Mistakes to Avoid During Your Data Analyst Job Search,2024-03-05T13:00:01Z,20122,753,50,714.0
UOBTLzWY1vs,#DataAnalyst #AnalystBuilder #SQL,2024-03-01T13:43:29Z,23058,1558,20,38.0
8zOkBTs0yxs,Q/A Livestream | February Livestream | Ask Me Anything!,2024-02-29T17:10:18Z,5641,189,7,5697.0
7NBt0V8ebGk,Window Functions in MySQL | Intermediate MySQL,2024-02-27T13:00:08Z,174747,4684,125,809.0
FGC0cCAgGu0,Twitter making me tear up over here 🥹,2024-02-23T13:34:27Z,8037,312,12,16.0
Vj6RqA_X-IE,Subqueries in MySQL | Intermediate MySQL,2024-02-20T13:00:32Z,145402,2333,93,661.0
RYIiOG4LsvQ,Case Statements in MySQL | Intermediate MySQL,2024-02-13T13:00:19Z,130899,2298,116,533.0
5y7tLNPVJPA,We did our best,2024-02-08T13:59:09Z,7564,245,5,9.0
_nf56aMPdZE,"Microsoft Copilot Full Review | AI in Word, PowerPoint, Excel and More!",2024-02-06T13:00:35Z,86841,1036,52,1485.0
XbDRYzYUmMo,Top 5 Emerging Trends in 2024 | CareerFoundry Webinar,2024-01-30T17:30:05Z,13468,474,10,4496.0
KRXSJb9ql1Y,String Functions in MySQL | Intermediate MySQL Series,2024-01-30T13:00:17Z,146207,2499,81,714.0
iTQW_nDp938,Unions in MySQL | Intermediate MySQL,2024-01-23T13:00:41Z,140571,2500,87,442.0
lXQzD09BOH0,Joins in MySQL | Intermediate MySQL,2024-01-16T13:00:42Z,298288,4211,179,1031.0
xtC3212t4hI,Is my background in Data Analytics?,2024-01-15T14:22:09Z,32389,2152,33,57.0
KZKizyBS9YM,Solving VERY HARD SQL Interview Questions on Analyst Builder,2024-01-11T13:00:16Z,23541,587,23,1023.0
I0_ca6iyo6w,Solving HARD SQL Interview Questions on Analyst Builder,2024-01-09T13:00:24Z,31283,643,38,1286.0
GZS7AgQ4Ksg,Hard Skills vs Soft Skills,2024-01-08T13:06:02Z,15681,1039,7,30.0
fT-8mRf_-Hk,Solving Medium SQL Interview Questions on Analyst Builder,2024-01-04T13:00:28Z,34457,761,48,744.0
ZHaYOC0H5KE,Solving Easy SQL Interview Questions on Analyst Builder,2024-01-02T13:00:25Z,63564,1398,58,738.0
K0-8G3DgjA4,How I Would Become a Data Analyst if I had to Start Over in 2024 | 6 Month Plan,2023-12-26T13:00:10Z,424181,16624,511,661.0
ZnAydTqCtFU,Limit + Aliasing in MySQL | MySQL Beginner Series,2023-12-19T13:00:24Z,150716,2872,94,237.0
qPOmj22QX04,Practice SQL and Python right on your Phone!,2023-12-13T16:12:42Z,10340,642,20,28.0
XD1ul5fpnGI,Analyst Builder Full Launch! | The Learning Platform Built for Data Analysts,2023-12-12T13:00:21Z,25320,1029,112,987.0
kifhSqep9UM,Analyst Builder Full Launch LiveStream | 20% Off Code & Giveaways,2023-12-11T19:04:05Z,12060,475,14,16464.0
dCNjUOc1cBY,Having vs Where in MySQL | Beginner MySQL Series,2023-12-05T13:00:35Z,178559,3153,54,226.0
lEjmgE-hogg,#Excel is Frustrating,2023-11-29T18:00:02Z,12641,797,11,47.0
qxj3dx0c7RM,7 Mistakes to Avoid in Your Data Analytics Job Search | CareerFoundry Webinar,2023-11-28T17:36:39Z,14283,432,11,4297.0
zgYqUP_PhQo,Group By + Order By in MySQL | Beginner MySQL Series,2023-11-28T13:00:57Z,238987,4060,96,646.0
MARn_mssG4A,Where Clause in MySQL | Beginner MySQL Series,2023-11-21T13:00:24Z,259647,4085,138,747.0
TGAUZQJaQbQ,Why Data Analysts Hate Using Excel,2023-11-14T13:00:21Z,26242,972,140,444.0
HYD8KjPB9F8,Select Statement in MySQL | Beginner MySQL Series,2023-11-07T13:00:11Z,405475,5002,188,660.0
wgRwITQHszU,Installing MySQL and Creating Databases | MySQL for Beginners,2023-10-31T12:00:54Z,1165146,14804,1607,724.0
1LG65qXfeQY,Python Beginner to Advanced in One Hour | CareerFoundry Webinar,2023-10-26T16:30:05Z,26754,989,12,4709.0
QzLz-W29Tww,How to Start a Data YouTube Channel,2023-10-24T12:00:30Z,9931,436,47,657.0
ukIUVW2E-n0,600k Livestream! | Analyst Builder Giveaways | Songs | My Mom is Joining!,2023-10-20T16:18:10Z,5162,237,11,5107.0
aofB2t5o2ao,Consulting and Freelancing in Data Analytics | ATA Show: Episode 25,2023-10-17T12:00:04Z,20328,765,272,4443.0
-DwpkgtJjGw,Data Analyst vs Business Analyst,2023-10-13T13:37:21Z,144736,7555,59,59.0
h4KTy2wxYcQ,First Look at Analyst Builder! | The All-in-One Platform for Data Analysts | Beta Launch Coming Soon,2023-10-10T12:00:36Z,32323,853,212,1311.0
LaRXtE4OG9A,#DataAnalysis #DataAnalyst #DataRealities,2023-10-09T12:11:16Z,32329,1889,26,40.0
J0PcCv9f4JQ,#DataAnalyst #DataCareers #DataAnalysis,2023-10-05T12:13:45Z,17685,1309,32,58.0
_DGn-7134i0,"Data Analyst vs Data Engineer | Responsibilities, Salaries, Skills, Education",2023-10-03T12:00:26Z,37663,818,44,386.0
EflE8U30pBo,Data Analyst Q/A Livestream | September Livestream | Ask Me Anything!,2023-09-28T16:09:03Z,9004,284,21,5621.0
j_sHaBJEHMk,#Salary #DataAnalyst #SalaryNegotiation,2023-09-28T12:37:36Z,14557,978,7,55.0
xuyKzpJ2SaY,AI and Analytics with SAS | SAS Explore Recap,2023-09-26T12:00:49Z,24404,512,31,179.0
D0mEy6bJ2lA,My Very First Video,2023-09-25T13:13:18Z,9603,501,29,23.0
GaoAc3-hScQ,#DataAnalyst #CareerPath,2023-09-22T11:45:01Z,74822,4582,33,52.0
bxIF9X9k2IE,"Data Analyst vs Data Scientist | Responsibilities, Salaries, Skills, Education",2023-09-19T12:00:34Z,48147,1178,54,673.0
z_xWpa88R0A,#Excel #DataAnalyst #DataAnalysis,2023-09-18T11:38:11Z,17731,1294,21,56.0
7PoZBuIUnEU,"Data Analyst vs Business Analyst | Responsibilities, Salaries, Skills, Education",2023-09-12T12:00:07Z,47556,1646,101,294.0
fq1-e-GbihE,#DataAnalysis #DataAnalyst,2023-09-07T11:57:32Z,20961,1487,23,53.0
Xkb6h3YXl_c,Hard Skills vs Soft Skills in the Data World | Which is More Important?,2023-09-05T12:00:34Z,15888,705,30,582.0
qDprq7Xbrqw,"Entry Level vs Mid Level vs Senior Level Data Analyst | Responsibilities, Salary, Education, Skills",2023-08-29T04:00:33Z,45620,1960,113,323.0
UOHxb9ndpMM,#DataAnalyst #DataAnalysis #Promotion,2023-08-28T11:53:52Z,11022,633,10,51.0
_h_A_n8Z9QQ,#DataAnalyst #DataAnalysis,2023-08-24T11:53:05Z,21071,1402,54,60.0
_oCUSMX4_3k,Regular Expression Use Cases in Python,2023-08-22T12:00:35Z,11608,271,22,767.0
OnS01G8W6nw,Data Analyst Q/A Livestream | August Livestream | Ask Me Anything!,2023-08-18T14:23:24Z,8510,321,25,4365.0
ugkyfUTc6AU,#DataAnalystSalary #DataAnalysis,2023-08-17T12:35:34Z,52207,3647,52,54.0
eON-PNPae8Y,How to Work with Recruiters on LinkedIn,2023-08-15T12:00:34Z,50213,2379,89,467.0
41nX2ZgGzcE,#dataanalysis #dataportfolio,2023-08-14T12:12:00Z,38345,3091,26,60.0
Le35Qsgs2lM,#wife #careerchange #dataanalysis,2023-08-11T13:13:22Z,21212,1960,52,59.0
nufF-juSZxU,LINK: https://www.youtube.com/playlist?list=PLUaB-1hjhk8FE_XZ87vPPSfHqb6OcM0cF,2023-08-09T13:11:45Z,8385,751,44,37.0
9NB5u17qiDY,Regular Expression Character Classes in Python,2023-08-08T12:00:05Z,14586,246,13,638.0
YDvJqgBv0Uc,#Recruiters #dataanalysis #data,2023-08-03T11:56:30Z,17565,1178,24,58.0
j6A28L6Tmxw,Regular Expression Metacharacters in Python,2023-08-01T12:00:26Z,13173,320,9,1203.0
W_s4c1vLGXM,How much do Data Analysts make? #dataanalyst #dataanalystsalary,2023-07-31T13:07:06Z,22102,840,45,46.0
DWte9zjGl0I,Do you need to learn SQL if you can do everything in Python?  #Python #dataanalysis #SQL,2023-07-28T12:48:19Z,64310,3470,47,51.0
EzeeypMKx7o,Regular Expression Methods in Python,2023-07-25T12:00:19Z,23299,459,14,517.0
OISvlkfbntY,What are Hiring Managers Looking For? | Nail the Interview Process!,2023-07-18T12:00:17Z,44676,1582,76,822.0
8dTpNajxaH0,Scraping Data from a Real Website | Web Scraping in Python,2023-07-11T12:00:07Z,688285,12185,478,1523.0
